playerID,name,corrective_status,corrective_note,corrective_class_year,include_in_directory
dahlebi01,Bill Dahlen,Corrective Induction,"Strong historical shortstop case added manually outside the automatic induction lanes.",2026,TRUE
whitalo01,Lou Whitaker,Corrective Induction,"Long-run second-base value and overlooked Hall case added manually outside the automatic induction lanes.",2026,TRUE
grichbo01,Bobby Grich,Corrective Induction,"Strong all-around second-base value added manually outside the automatic induction lanes.",2026,TRUE
ramirma02,Manny Ramirez,Corrective Induction,"Elite offensive peak and long-run production added manually outside the automatic induction lanes.",2026,TRUE
canoro01,Robinson Cano,Corrective Induction,"Long-run second-base production added manually outside the automatic induction lanes.",2026,TRUE
loftoke01,Kenny Lofton,Corrective Induction,"Center-field value and top-end baserunning case added manually outside the automatic induction lanes.",2026,TRUE
nettlgr01,Graig Nettles,Corrective Induction,"Third-base value and overlooked career added manually outside the automatic induction lanes.",2026,TRUE
evansdw01,Dwight Evans,Corrective Induction,"Two-way right-field value added manually outside the automatic induction lanes.",2026,TRUE
utleych01,Chase Utley,Corrective Induction,"Peak second-base value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
vottojo01,Joey Votto,Corrective Induction,"Recently retired first baseman with an MVP-caliber peak added manually outside the automatic induction lanes.",2026,TRUE
jacksjo01,Joe Jackson,Corrective Induction,"Historic batting case added manually outside the automatic induction lanes.",2026,TRUE
hernake01,Keith Hernandez,Corrective Induction,"Elite first-base defense and strong all-around value added manually outside the automatic induction lanes.",2026,TRUE
olerujo01,John Olerud,Corrective Induction,"High-OBP first-base value added manually outside the automatic induction lanes.",2026,TRUE
bondsbo01,Bobby Bonds,Corrective Induction,"Power-speed outfield peak added manually outside the automatic induction lanes.",2026,TRUE
lemonch01,Chet Lemon,Corrective Induction,"Joke page kept on the site for search only and intentionally hidden from the directories.",2026,FALSE
wrightda03,David Wright,Corrective Induction,"Franchise third-base peak added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
pedrodu01,Dustin Pedroia,Corrective Induction,"Second-base peak and MVP resume added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
abreubo01,Bobby Abreu,Corrective Induction,"On-base and all-around outfield value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
molinya01,Yadier Molina,Corrective Induction,"Franchise catcher, championship anchor, and long-run defensive standout added manually outside the automatic induction lanes.",2026,TRUE
murphda05,Dale Murphy,Corrective Induction,"Two MVPs and a strong center-field peak added manually outside the automatic induction lanes.",2026,TRUE
poseybu01,Buster Posey,Corrective Induction,"Recently retired catcher with an MVP-caliber peak added manually outside the automatic induction lanes.",2026,TRUE
delgaca01,Carlos Delgado,Corrective Induction,"Middle-of-the-order first-base power added manually outside the automatic induction lanes.",2026,TRUE
zobribe01,Ben Zobrist,Corrective Induction,"Multi-position value and championship-era peak added manually outside the automatic induction lanes.",2026,TRUE
greinza01,Zack Greinke,Corrective Induction,"Recently retired pitcher added manually outside the automatic induction lanes.",2026,TRUE
mccorji01,Jim McCormick,Corrective Induction,"Nineteenth-century pitching case added manually outside the automatic induction lanes.",2026,TRUE
brownke01,Kevin Brown,Corrective Induction,"Power-pitching ace case added manually outside the automatic induction lanes.",2026,TRUE
tiantlu01,Luis Tiant,Corrective Induction,"Long-run pitching value and peak case added manually outside the automatic induction lanes.",2026,TRUE
buehrma01,Mark Buehrle,Corrective Induction,"Durable left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
saberbr01,Bret Saberhagen,Corrective Induction,"Two-time Cy Young pitching case added manually outside the automatic induction lanes.",2026,TRUE
hamelco01,Cole Hamels,Corrective Induction,"Postseason-tested left-hander case added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.",2026,TRUE
cicoted01,Eddie Cicotte,Corrective Induction,"Early ace pitching case added manually outside the automatic induction lanes.",2026,TRUE
stiebda01,Dave Stieb,Corrective Induction,"Ace-level run prevention case added manually outside the automatic induction lanes.",2026,TRUE
hernafe02,Felix Hernandez,Corrective Induction,"Cy Young ace peak added manually outside the automatic induction lanes.",2026,TRUE
spaldal01,Al Spalding,Corrective Induction,"Foundational nineteenth-century pitching case added manually outside the automatic induction lanes.",2026,TRUE
santajo02,Johan Santana,Corrective Induction,"Two-time Cy Young peak added manually outside the automatic induction lanes.",2026,TRUE
moyerja01,Jamie Moyer,Corrective Induction,"Long-run durability case added manually outside the automatic induction lanes.",2026,TRUE
oswalro01,Roy Oswalt,Corrective Induction,"Peak ace value added manually outside the automatic induction lanes.",2026,TRUE
nathajo01,Joe Nathan,Corrective Induction,"Elite closer resume added manually outside the automatic induction lanes.",2026,TRUE
francjo01,John Franco,Corrective Induction,"Long-run left-handed closer case added manually outside the automatic induction lanes.",2026,TRUE
rodrifr03,Francisco Rodriguez,Corrective Induction,"Historic closer peak added manually outside the automatic induction lanes.",2026,TRUE
hillejo01,John Hiller,Corrective Induction,"Relief ace case added manually outside the automatic induction lanes.",2026,TRUE
britzza01,Zack Britton,Corrective Induction,"Recently retired reliever added manually outside the automatic induction lanes.",2026,TRUE
goodedw01,Dwight Gooden,Corrective Induction,"Cy Young peak and ace-level prime added manually outside the automatic induction lanes.",2026,TRUE
