playerID,name,birthYear,debut,finalGame,bbref_url,player_context,year_note,primary_position,positions,teams,team_timeline,batting_games,hits,home_runs,runs_batted_in,stolen_bases,batting_average,pitching_games,strikeouts,wins,losses,saves,innings_pitched,earned_run_average,qualifying_milestones,milestone_class_year,major_awards,all_star_selections,title_awards
pujolal01,Albert Pujols,1980,2001,2022,https://www.baseball-reference.com/players/p/pujolal01.shtml,Major League Baseball,Years taken from Lahman player data.,1B,1B | OF | 3B | 2B | P | SS,St. Louis Cardinals | Los Angeles Angels of Anaheim | Los Angeles Dodgers,St. Louis Cardinals (2001-2022) | Los Angeles Angels of Anaheim (2012-2021) | Los Angeles Dodgers (2021-2021),3080,3384,703,2218,117,0.296,1,0,0,0,0,1.0,36,500+ HR | 3000+ Hits,2014,Gold Glove (2) | MVP (3) | Silver Slugger (6),11,NA
rodrial01,Alex Rodriguez,1975,1994,2016,https://www.baseball-reference.com/players/r/rodrial01.shtml,Major League Baseball,Years taken from Lahman player data.,SS,SS | 3B | 1B,Seattle Mariners | Texas Rangers | New York Yankees,Seattle Mariners (1994-2000) | Texas Rangers (2001-2003) | New York Yankees (2004-2016),2784,3115,696,2086,329,0.295,NA,NA,NA,NA,NA,NA,NA,500+ HR | 3000+ Hits,2007,Gold Glove (2) | MVP (3) | Silver Slugger (10),14,NA
bondsba01,Barry Bonds,1964,1986,2007,https://www.baseball-reference.com/players/b/bondsba01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF,Pittsburgh Pirates | San Francisco Giants,Pittsburgh Pirates (1986-1992) | San Francisco Giants (1993-2007),2986,2935,762,1996,514,0.298,NA,NA,NA,NA,NA,NA,NA,500+ HR,2001,Gold Glove (8) | MVP (7) | Silver Slugger (12),14,NA
kershcl01,Clayton Kershaw,1988,2008,NA,https://www.baseball-reference.com/players/k/kershcl01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P,Los Angeles Dodgers,Los Angeles Dodgers (2008-2025),464,113,1,40,1,0.162,455,3052,223,96,0,2855.1,2.53,3000+ SO,2025,Cy Young (3) | Gold Glove (1) | MVP (1),11,NA
schilcu01,Curt Schilling,1966,1988,2007,https://www.baseball-reference.com/players/s/schilcu01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P,Baltimore Orioles | Houston Astros | Philadelphia Phillies | Arizona Diamondbacks | Boston Red Sox,Baltimore Orioles (1988-1990) | Houston Astros (1991-1991) | Philadelphia Phillies (1992-2000) | Arizona Diamondbacks (2000-2003) | Boston Red Sox (2004-2007),571,117,0,29,1,0.151,569,3116,216,146,22,3261.0,3.46,3000+ SO,2006,World Series MVP (1),6,NA
sheffga01,Gary Sheffield,1968,1988,2009,https://www.baseball-reference.com/players/s/sheffga01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF | 3B | SS | 1B,Milwaukee Brewers | San Diego Padres | Florida Marlins | Los Angeles Dodgers | Atlanta Braves | New York Yankees | Detroit Tigers | New York Mets,Milwaukee Brewers (1988-1991) | San Diego Padres (1992-1993) | Florida Marlins (1993-1998) | Los Angeles Dodgers (1998-2001) | Atlanta Braves (2002-2003) | New York Yankees (2004-2006) | Detroit Tigers (2007-2008) | New York Mets (2009-2009),2576,2689,509,1676,253,0.292,NA,NA,NA,NA,NA,NA,NA,500+ HR,2009,Silver Slugger (5),9,NA
verlaju01,Justin Verlander,1983,2005,NA,https://www.baseball-reference.com/players/v/verlaju01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P,Detroit Tigers | Houston Astros | New York Mets | San Francisco Giants,Detroit Tigers (2005-2017) | Houston Astros (2017-2024) | New York Mets (2023-2023) | San Francisco Giants (2025-2025),555,5,0,1,0,0.1,555,3553,266,158,0,3567.2,3.32,3000+ SO,2019,Cy Young (3) | MVP (1),9,NA
ramirma02,Manny Ramirez,1972,1993,2011,https://www.baseball-reference.com/players/r/ramirma02.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF,Cleveland Indians | Boston Red Sox | Los Angeles Dodgers | Chicago White Sox | Tampa Bay Rays,Cleveland Indians (1993-2000) | Boston Red Sox (2001-2008) | Los Angeles Dodgers (2008-2010) | Chicago White Sox (2010-2010) | Tampa Bay Rays (2011-2011),2302,2574,555,1831,38,0.312,NA,NA,NA,NA,NA,NA,NA,500+ HR,2008,Silver Slugger (9) | World Series MVP (1),12,NA
mcgwima01,Mark McGwire,1963,1986,2001,https://www.baseball-reference.com/players/m/mcgwima01.shtml,Major League Baseball,Years taken from Lahman player data.,1B,1B | 3B | OF,Oakland Athletics | St. Louis Cardinals,Oakland Athletics (1986-1997) | St. Louis Cardinals (1997-2001),1874,1626,583,1414,12,0.263,NA,NA,NA,NA,NA,NA,NA,500+ HR,1999,Gold Glove (1) | Silver Slugger (3),12,NA
scherma01,Max Scherzer,1984,2008,NA,https://www.baseball-reference.com/players/s/scherma01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P,Arizona Diamondbacks | Detroit Tigers | Washington Nationals | Los Angeles Dodgers | New York Mets | Texas Rangers | Toronto Blue Jays,Arizona Diamondbacks (2008-2009) | Detroit Tigers (2010-2014) | Washington Nationals (2015-2021) | Los Angeles Dodgers (2021-2021) | New York Mets (2022-2023) | Texas Rangers (2023-2024) | Toronto Blue Jays (2025-2025),490,78,1,30,3,0.168,483,3489,221,117,0,2963.0,3.22,3000+ SO,2021,Cy Young (3),8,NA
cabremi01,Miguel Cabrera,1983,2003,NA,https://www.baseball-reference.com/players/c/cabremi01.shtml,Major League Baseball,Years taken from Lahman player data.,1B,1B | 3B | OF,Florida Marlins | Detroit Tigers,Florida Marlins (2003-2007) | Detroit Tigers (2008-2023),2797,3174,511,1881,40,0.306,NA,NA,NA,NA,NA,NA,NA,500+ HR | 3000+ Hits,2021,MVP (2) | Silver Slugger (7),12,NA
rosepe01,Pete Rose,1941,1963,1986,https://www.baseball-reference.com/players/r/rosepe01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF | 1B | 3B | 2B,Cincinnati Reds | Philadelphia Phillies | Montreal Expos,Cincinnati Reds (1963-1986) | Philadelphia Phillies (1979-1983) | Montreal Expos (1984-1984),3562,4256,160,1314,198,0.303,NA,NA,NA,NA,NA,NA,NA,3000+ Hits,1978,Gold Glove (2) | MVP (1) | Silver Slugger (1) | World Series MVP (1),17,NA
palmera01,Rafael Palmeiro,1964,1986,2005,https://www.baseball-reference.com/players/p/palmera01.shtml,Major League Baseball,Years taken from Lahman player data.,1B,1B | OF,Chicago Cubs | Texas Rangers | Baltimore Orioles,Chicago Cubs (1986-1988) | Texas Rangers (1989-2003) | Baltimore Orioles (1994-2005),2831,3020,569,1835,97,0.288,NA,NA,NA,NA,NA,NA,NA,500+ HR | 3000+ Hits,2003,Gold Glove (3) | Silver Slugger (2),4,NA
clemero02,Roger Clemens,1962,1984,2007,https://www.baseball-reference.com/players/c/clemero02.shtml,Major League Baseball,Years taken from Lahman player data.,P,P,Boston Red Sox | Toronto Blue Jays | New York Yankees | Houston Astros,Boston Red Sox (1984-1996) | Toronto Blue Jays (1997-1998) | New York Yankees (1999-2007) | Houston Astros (2004-2006),709,31,0,12,0,0.173,709,4672,354,184,0,4916.2,3.12,3000+ SO | 300+ Wins,1998,All-Star Game MVP (1) | Cy Young (7) | MVP (1),11,NA
sosasa01,Sammy Sosa,1968,1989,2007,https://www.baseball-reference.com/players/s/sosasa01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF,Chicago White Sox | Texas Rangers | Chicago Cubs | Baltimore Orioles,Chicago White Sox (1989-1991) | Texas Rangers (1989-2007) | Chicago Cubs (1992-2004) | Baltimore Orioles (2005-2005),2354,2408,609,1667,234,0.273,NA,NA,NA,NA,NA,NA,NA,500+ HR,2003,MVP (1) | Silver Slugger (6),7,NA
